episode,episode_title,scene,timecode,duration_sec,shot_type,location,character_action,vo_line_id,on_screen_text,vfx,sfx,camera_notes,prompt_snippet
E01,Kenapa Langit Biru,1,0:00-0:05,5,ECU->MS,Backyard grass,Robi wakes up lying in grass and looks up at sky,E01_VO_01,,sun rays + drifting clouds,birdsong + wake-up chime,dolly back from eye to full body,"Pixar 3D, Robi chibi robot, backyard grass, sunny morning, lying then sits up, points at sky, 24fps 16:9"
E01,Kenapa Langit Biru,2,0:05-0:12,7,MS,Backyard,Robi scratches head and shrugs with giant ? above antenna,E01_VO_02,KENAPA?,question mark sparkle,curious boing,static medium,"Robi scratches head, yellow 3D question mark above antenna, shrug pose, bright colors #1E5BD8 #FFC83D"
E01,Kenapa Langit Biru,3,0:12-0:20,8,CU,Backyard,Lightbulb pops above head, eyes widen, arms up,,AYO CARI TAHU!,lightbulb flash + star confetti,ding + magical sparkle,quick push-in,"Close-up, yellow lightbulb pops above Robi's antenna, eyes go wide, arms shoot up, confetti burst"
E01,Kenapa Langit Biru,4,0:20-0:30,10,CU->WS,Transforming,Robi presses play-button chest and shrinks to bee-size,E01_VO_04,ZWOOP!,radial speed lines + glow,zwoop shrink sfx,dolly down to follow,"Robi presses yellow play-button chest, body glows, shrinks to bee-size, floating mid-air, sparkle particles"
E01,Kenapa Langit Biru,5,0:30-0:45,15,WS tracking,Sky / atmosphere,Mini-Robi surfs a rainbow sunbeam up into the sky,E01_VO_05,,volumetric god rays + ROYGBIV ribbon,whoosh + joyful laugh,dynamic tracking,"Mini-Robi surfs a rainbow ribbon sunbeam of 7 colored bouncy balls, laughing, arms out, magical"
E01,Kenapa Langit Biru,6,0:45-1:05,20,MS,Floating sky platform,7 colored balls hit molecule wall; RGB balls bounce wildly,E01_VO_06,BIRU MENYEBAR!,chunky 3D yellow text,bouncy pops + scatter,clean side-view educational,"Floating platform, 7 bouncy balls roll at tiny white molecule wall, red-orange-yellow pass through, blue-indigo-violet scatter wildly, text pops BIRU MENYEBAR"
E01,Kenapa Langit Biru,7,1:05-1:18,13,MS->CU,Backyard,Robi returns, looks up at sparkly blue sky, aha smile,E01_VO_07,,blue sparkle particles across sky,warm aha chime,slow push-in to face,"Robi returns to full size in backyard, looks up, sky fills with tiny blue sparkles, satisfied wink"
E01,Kenapa Langit Biru,8,1:18-1:30,12,MS,Brand backdrop,3 icons float around Robi; final thumbs up with subscribe button,E01_VO_08,"CAHAYA=7 WARNA / BIRU MENYEBAR / LANGIT=BIRU / SUBSCRIBE",icons + confetti,CTA bell ding,static hero,"Robi center, 3 floating icons (sun / 7 balls / sparkly sky), chunky yellow 3D text, thumbs up, yellow SUBSCRIBE button"
E02,Kenapa Es Mencair,1,0:00-0:05,5,ECU,Kitchen counter,Robi stares at a melting ice cube in his gloved hand,E02_VO_01,,drip particles,drip drip,slow dolly in,"Robi in stylized kitchen, melting ice cube on hand, water droplets forming, curious face"
E02,Kenapa Es Mencair,2,0:05-0:12,7,MS,Kitchen,Robi tilts head, big ? appears, shrug,E02_VO_02,KENAPA?,question mark,boing,static,"Robi tilts head at puddle, yellow 3D question mark sparkle above antenna"
E02,Kenapa Es Mencair,3,0:12-0:20,8,CU,Kitchen,Lightbulb pops, excited arms up,,AYO CARI TAHU!,lightbulb + stars,ding,push-in,"Lightbulb moment, eyes wide, arms up, yellow confetti"
E02,Kenapa Es Mencair,4,0:20-0:30,10,CU->WS,Transforming,Robi shrinks to molecule-size on the ice cube surface,E02_VO_04,ZWOOP!,shrink glow,zwoop,dolly into micro,"Robi presses chest play button, shrinks to molecule-size, lands on crystal ice surface"
E02,Kenapa Es Mencair,5,0:30-0:45,15,WS,Inside ice crystal,Frozen water molecules locked in lattice, barely wiggling,E02_VO_05,,frost particles + blue tint,crystal tinkle,slow orbit,"Stylized blue ice crystal lattice, cartoon water molecule characters locked arm-in-arm, barely wiggling, cold blue light"
E02,Kenapa Es Mencair,6,0:45-1:05,20,MS,Inside melting ice,Sun rays heat up the molecules, they start dancing and break apart,E02_VO_06,PANAS = GERAK CEPAT!,yellow heat waves,warm zap + upbeat,side-view,"Sun rays pierce the ice, molecule characters start dancing faster, break hands, flow into liquid, chunky yellow text PANAS = GERAK CEPAT"
E02,Kenapa Es Mencair,7,1:05-1:18,13,MS->CU,Kitchen,Robi returns to normal size, watches puddle form, aha wink,E02_VO_07,,sparkle,aha chime,push-in,"Robi returns, watches last of ice turn to water, wink, satisfied smile"
E02,Kenapa Es Mencair,8,1:18-1:30,12,MS,Brand backdrop,3 icons + CTA,E02_VO_08,"DINGIN=DIAM / PANAS=GERAK / ES=AIR / SUBSCRIBE",icons + confetti,bell ding,static hero,"Robi with 3 floating icons (ice cube / sun / water drop), thumbs up, subscribe button"
E03,Kenapa Pelangi Muncul,1,0:00-0:05,5,MS,Garden after rain,Robi holds an umbrella as last raindrop falls,E03_VO_01,,wet petal sparkle,light rain stop,dolly in,"Robi in garden after rain, umbrella, glistening wet flowers, last drops falling"
E03,Kenapa Pelangi Muncul,2,0:05-0:12,7,MS,Garden,Robi sees rainbow appear, gasps in wonder,E03_VO_02,WOW!,rainbow reveal,magical chime,tilt up,"Robi looks up, big rainbow arcs across sky, jaw drop, sparkles"
E03,Kenapa Pelangi Muncul,3,0:12-0:20,8,CU,Garden,Lightbulb moment,,AYO CARI TAHU!,lightbulb + stars,ding,push-in,"Lightbulb pops, Robi excited"
E03,Kenapa Pelangi Muncul,4,0:20-0:30,10,CU,Lab,Robi teleports to a prism lab,E03_VO_04,TELEPORT!,teleport rings,warp zap,dolly,"Robi teleports into a clean white lab with a big floating crystal prism"
E03,Kenapa Pelangi Muncul,5,0:30-0:45,15,WS,Lab,Robi shines white light into prism and splits it into rainbow,E03_VO_05,,ROYGBIV light fan,prism shimmer,orbit around prism,"Robi aims flashlight at crystal prism, beam splits into ROYGBIV fan on wall"
E03,Kenapa Pelangi Muncul,6,0:45-1:05,20,MS,Sky,Each raindrop acts as mini prism making rainbow,E03_VO_06,TETES HUJAN = PRISMA!,raindrops with tiny rainbows,sparkle swell,pan across droplets,"Giant stylized raindrops floating in sky, each splits a sunbeam into mini rainbow, chunky yellow text"
E03,Kenapa Pelangi Muncul,7,1:05-1:18,13,MS,Garden,Robi back in garden, sees rainbow, satisfied,E03_VO_07,,ambient sparkle,aha,push-in,"Robi in garden, rainbow overhead, contented wink"
